source,source_id,reason
usda_sr,172294,"Copper published as 370mg/100g for ""Toddler drink, MEAD JOHNSON, PurAmino Toddler Powder, with ARA and DHA, not reconstituted"". Typical infant formula powder runs ~0.4mg/100g, so this is roughly a 1000x error -- confirmed against the live FDC API and independent USDA-data mirrors (myfooddata, prospre), which all carry the same figure, so it is the source's own data that is wrong, not our mapping. Excluded rather than raising food.Nutrient copper's Max, which would admit a food carrying tens of times the toxic threshold across every source."
usda_sr,173174,"Manganese published as 269.1mg/100g for ""Beverages, UNILEVER, SLIMFAST Shake Mix, high protein, whey powder, 3-2-1 Plan,"". A daily reference intake for manganese is about 2.3mg, so this figure would be over 100x that in a single 100g serving -- confirmed against the live FDC API and independent USDA-data mirrors (foodstruct, myfooddata), which all carry the same figure. The same archive's instant-tea entries genuinely do run 125-133mg/100g (tea is well-documented as manganese-rich), which is why manganese's Max was raised to 150 rather than to cover this row too; this one food is excluded instead."
ciqual,18354,"Pantothenic acid published as 135mg/100g for ""Energy drink, with sugar(s) and with sweetener(s)"", past this nutrient's plausible maximum of 100. Every other B vitamin CIQUAL gives the same food sits at ordinary fortification levels -- 0.55mg riboflavin, 6.22mg niacin, 0.61mg B6, 1.47ug B12 -- and 135mg/100ml would be roughly 340mg in a 250ml can, about a hundred times what any energy drink declares on its label. A figure of 1.35mg would fit its siblings exactly, so this reads as a decimal slip in CIQUAL's own table rather than a defect in our mapping, which the unit guard checks independently."
cofid,18-003,"Components sum to 107.5 g per 100 g for ""Beef, fat, average, raw"": 53.6 g fat, 18.9 g protein and 35.0 g water, before ash. No composition can do that -- the three figures are each plausible for separable beef fat on their own and cannot all be right together, so at least one is measured on a different basis than the row states. Its fatty acids are self-consistent (24.9 + 24.2 + 1.7 = 50.8 g against 53.6 g of fat), which points at the water or protein figure rather than at anything our mapping does; the unit guard checks the columns independently. Note that checkMacroSum's ceiling is now 110 and this food would pass it: the exclusion stands on the arithmetic being impossible, not on a check complaining, which is the bar this file sets."
cofid,19-614,"Fatty acids sum to 10.12 g per 100 g against 1.9 g of total fat for ""Chow mein, pork and chicken, homemade"" -- 0.76 g saturated, 6.23 g monounsaturated, 3.13 g polyunsaturated. A food cannot hold five times more fatty acids than fat. The three fatty acid columns are read from the same sheet and the same row as the fat column, and every other CoFID food passes the same check, so this is one row of CoFID's own data disagreeing with itself. Excluded rather than relaxing the sub_nutrients hard ceiling of 3.00x, which exists to catch exactly this shape of error when it is systematic rather than isolated."
cnf,503379,"Components sum to 148.3 g per 100 g for ""Chocolate syrup, thin type, less sugar, with added vitamins and minerals"": 78.89 g moisture and 67.57 g carbohydrate, before 1.8 g of ash. The two figures also disagree with the food's own 296 kcal, which no product that is four-fifths water can carry. It reads as a concentrate's composition recorded against a diluted product's moisture; either way it is CNF's own row, not a mapping defect, and no other CNF food comes near it -- the next highest sums to 108.8."
cnf,5522,"NOT A SOURCE DEFECT -- excluded because this pack cannot represent the food. ""Sweets, syrups, dietetic"" declares 40 kcal against 49.2 g of carbohydrate-by-difference, which the Atwater estimate puts at 194 kcal, 385% out and the only food in a six-source build to fail that check's hard gate. Dietetic syrups are bulked with polyols and polydextrose, which carbohydrate-by-difference counts in full but which carry 1-2.4 kcal/g rather than 4. CNF's declared energy is very likely the right one; the canonical vocabulary simply has no polyol key, so nothing in the pack can account for the gap and the verifier reads a correct food as broken. Recorded plainly rather than dressed up as a data error: the honest alternatives are a polyols nutrient key (CIQUAL, AFCD and CNF all publish the components, though CNF publishes no total) or an atwater exemption predicate, and both are larger changes than this row."
cnf,933,"Starch alone is 8.97 g against 6.31 g of carbohydrate-by-difference for ""Soup, cream, chicken, canned, condensed"", and with 1.49 g of sugars the components reach 1.658x the total. Starch is a component of carbohydrate-by-difference by construction and cannot exceed it. Excluded rather than raising the sub_nutrients hard ceiling past 1.5x, which would then admit a systematic error of the same shape; with this row gone the worst food in the pack sits at 1.444x."
cnf,502207,"Two of this food's conversion factors are 100x its others: ""Yogourt, fruit flavoured, tubes, vitamin D added"" gives 175ml a factor of 186.20 and 250ml one of 266.00 where 125ml is 1.33 and 100ml is 1.064. CNF states these as multipliers on 100 g, so the pack reads a 250ml serving as 26.6 kg. A decimal slip in the source's own table -- the correct values are plainly 1.862 and 2.66. Excluded rather than rescaled: silently correcting a source's number is exactly what this pipeline refuses to do."
cnf,502203,"""Yogourt beverage, vanilla flavoured"" gives ""1 large container"" a conversion factor of 216.30 against 1.00580 for ""1 small container"" and 2.70380 for 250ml -- a 21.6 kg serving. The same decimal slip as 502207 above."
cnf,1600,"""Longan, dried"" gives 225ml a conversion factor of 124.39 while 250ml is 1.38210 and 125ml is 0.69106 -- a 12.4 kg serving from a measure smaller than the one beside it. The same decimal slip as 502207 above; the correct value is 1.2439."
cnf,3181,"Retinol activity equivalents published as 1ug against 15ug of retinol for ""Fish, catfish, channel (bullhead), farmed, baked or broiled"". RAE is retinol plus the provitamin carotenoids divided by their conversion factors, so it cannot be smaller than retinol alone -- the two figures are inconsistent by CNF's own definition, not by any judgement about what the food should contain. Seven CNF foods do this, 0.09% of the 7,665 rows carrying both keys, and they are the only ones in a six-source pack; the mapping is checked independently by the unit guard. Excluded rather than raising the sub_nutrients ceiling on this relation from 1.1x to past 15x, which would leave nothing of it."
cnf,4310,"Retinol activity equivalents published as 8ug against 42ug of retinol for ""Dessert, pudding, coconut, dry mix, instant, prepared with whole milk"", which RAE's definition does not allow. See cnf/3181 for the full reasoning."
cnf,3139,"Retinol activity equivalents published as 2ug against 10ug of retinol for ""Fish, cod (gray cod), pacific, baked or broiled"", which RAE's definition does not allow. See cnf/3181 for the full reasoning."
cnf,3793,"Retinol activity equivalents published as 7ug against 33ug of retinol for ""Cake, yellow, commercial, with chocolate icing (frosting), in-store bakery"", which RAE's definition does not allow. See cnf/3181 for the full reasoning."
cnf,3012,"Retinol activity equivalents published as 24ug against 54ug of retinol for ""Fish, halibut, Atlantic or Pacific, baked or broiled"", which RAE's definition does not allow. See cnf/3181 for the full reasoning."
cnf,3120,"Retinol activity equivalents published as 26ug against 54ug of retinol for ""Mollusks, oyster, eastern (blue point), wild, boiled or steamed"", which RAE's definition does not allow. See cnf/3181 for the full reasoning."
cnf,4260,"Retinol activity equivalents published as 27ug against 42ug of retinol for ""Dessert, pudding, vanilla, dry mix, regular, prepared with whole milk"", which RAE's definition does not allow. See cnf/3181 for the full reasoning."
ciqual,31108,"Pantothenic acid published as 133mg/100g for ""Royal jelly"", past this nutrient's plausible maximum of 100. Royal jelly is the richest known dietary source of pantothenic acid, so a large figure is expected -- but not this large. Published analyses put it at 52.8mg/100g, at 120-565mg/kg across eight HPLC samples (12-56.5mg/100g), at 3.6-23mg/100g in one composition range, and at 511ug/g dry basis in Pearson and Burgin 1941, which is ~51mg/100g dry and lower again against this food's own 66g of water. 133 is about 2.4x the highest of them. CIQUAL grades the row confiance D, its own lowest, and its niacin at 105mg is equally far above the 4.5-42mg the literature reports, so the whole B-vitamin block looks inflated rather than one cell. Excluded rather than keeping food.Nutrient pantothenate's Max at 200, which was raised for this row on a literature claim that does not hold; the next-highest food in the pack is usda_sr/173002 at 29.8mg."
